Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Resort Skiing,2026-01-02 11:05:04,false,"South Tyrol - Val Gardena/Alpa di Siusi Ski","14.68","827","04:00:50","78","128","0.6","--","--","5.9","43.3","10,331","11,703","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","--","-18","No","00:00:06.7","16","--","--","--","02:34:13","05:06:59","5,112","7,644"
Strength Training,2025-12-31 10:04:02,false,"Strength","0.00","478","00:59:26","115","157","2.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","372","186","7","-10","No","00:59:26","1","--","--","--","00:45:31","00:59:26","--","--"
Running,2025-12-29 15:57:21,false,"Sofia Running","7.75","980","01:19:28","138","145","3.9","165","187","10:15","6:22","367","463","0.96","9.0","8.6","280","10:06","311","0.0","308","530","--","--","--","13,114","--","--","-19","No","01:19:28","1","--","--","--","01:19:26","01:19:37","1,825","2,077"
Strength Training,2025-12-28 09:27:35,false,"Strength","0.00","381","00:49:20","113","159","2.6","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","222","111","8","-8","No","00:49:20","1","--","--","--","00:31:12","00:49:20","--","--"
Running,2025-12-25 14:16:11,false,"Sofia Running","7.98","1,008","01:21:03","137","145","3.9","166","200","10:10","5:44","564","584","0.96","9.0","8.6","278","9:55","322","0.0","314","650","--","--","--","13,452","--","--","-20","No","01:21:03","1","--","--","--","01:20:59","01:21:41","1,698","1,978"
Running,2025-12-24 16:09:31,false,"Sofia Running","7.74","988","01:19:07","139","147","3.9","166","177","10:13","7:02","417","486","0.96","9.0","8.6","279","10:06","313","0.0","309","591","--","--","--","13,100","--","--","-19","No","01:19:07","1","--","--","--","01:19:05","01:19:10","1,835","2,087"
Running,2025-12-23 12:31:31,false,"Sofia Running","5.72","729","00:57:11","138","151","3.6","165","172","10:00","6:04","381","292","0.99","8.9","8.7","277","9:47","342","0.0","330","582","--","--","--","9,466","--","--","-17","No","00:57:11","1","--","--","--","00:57:02","00:57:59","1,821","1,995"
Running,2025-12-18 12:11:30,false,"New York - Fartlek 100","3.66","475","00:35:41","146","171","3.5","167","194","9:46","5:34","646","699","0.98","8.9","8.6","275","9:02","426","0.0","344","910","--","--","--","5,874","--","--","-10","No","00:00:25.9","23","--","--","--","00:35:37","00:35:41","-169","83"
Strength Training,2025-12-17 12:14:44,false,"Strength","0.00","340","00:53:34","104","154","2.2","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","230","115","7","-7","No","00:53:34","1","--","--","--","00:33:42","00:53:34","--","--"
Strength Training,2025-12-16 19:18:10,false,"Strength","0.00","228","00:38:05","98","152","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","232","116","7","--","No","00:38:05","1","--","--","--","00:27:09","00:38:05","--","--"
Running,2025-12-13 15:13:01,false,"New York - Fartlek 100","3.63","467","00:34:42","147","169","3.5","169","196","9:33","5:02","210","354","1.00","8.7","8.6","270","9:22","344","0.0","322","620","--","--","--","5,788","--","--","-8","No","00:00:25.4","23","--","--","--","00:34:33","00:34:42","-163","164"
Strength Training,2025-12-12 19:08:48,false,"Strength","0.00","318","00:40:31","113","158","2.3","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","282","141","7","-4","No","00:40:31","1","--","--","--","00:27:45","00:40:31","--","--"
Strength Training,2025-12-10 19:23:49,false,"Strength","0.00","238","00:36:43","101","154","2.0","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","280","140","7","-4","No","00:36:43","1","--","--","--","00:24:03","00:36:43","--","--"
